word;etymology;related
dizge;orig	Türkiye Türkçesi,diz-	;
kavra|mak;orig	Eski Türkçe,kavur-, kavrar	;
katarsis;orig	İngilizce ,catharsis	Eski Yunanca,kátharsis	Eski Yunanca,kathaírō	Eski Yunanca,ʰaíreō	;
zulmet;orig	Arapça,ẓlm	Arapça,ẓalima	;
utangaç;orig	Türkiye Türkçesi,utan-	;
gazal;orig	Arapça,ġzl	Aramice/Süryanice,ˁuzīlā	Akatça,χuzālu 	;
zoka;orig	Yeni Yunanca,zóka	Venedikçe,sóga	;
entel;orig	Türkiye Türkçesi,entelektüel	;
hırbo;orig	Kürtçe (Kurmanci),xirbo	;
ya;orig	Arapça,yā	;
hayıt;orig	Arapça,ḥwṭ	;
vasektomi;orig	Fransızca ,vaséctomie	Latince,vas	Eski Yunanca,ektémnō, ektom-	Eski Yunanca,témnō, tom-	;
ucuz;orig	Eski Türkçe,uçuz	Eski Türkçe,uç-	;
izan;orig	Arapça,ḏˁn	Arapça,ḏaˁana	;
brifing;orig	İngilizce ,briefing	İngilizce ,brief	Fransızca ,bref	Latince,brevis	Hintavrupa Anadilinde,*mregh-u-	;
dağlıç;orig	Türkiye Türkçesi,dağla-	;
bivefa;orig	Farsça,bī-vafā	Farsça,bī	Arapça,wafā	;
tedbir;orig	Arapça,dbr	Arapça,dabbara	Arapça,dubr	;
hop;"none	<p> ""sıçrama sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
distrofi;orig	İngilizce ,dystrophy	Eski Yunanca,dys+	Eski Yunanca,tréphō	;
çeyiz;orig	Arapça,chz	;
bazu;orig	Farsça,bāzū	Orta Farsça,bāzūg	Avesta (Zend) dilinde,bāzav-, bāzu-	Sanskritçe,bāhu	Hintavrupa Anadilinde,*bhāghu-s	;
şemame;orig	Arapça,şmm	Arapça,şamma	;
iletişim;orig	Yeni Türkçe,*iletiş-	Türkiye Türkçesi,ilet-	;
kaydırak;orig	Türkiye Türkçesi,kaydır-	;
trança;orig	İtalyanca,trancia	İtalyanca,tranciare	Geç Latince,trincare	;
boza;orig	Eski Türkçe,buχsı 	Farsça,būza 	;
tüyo;orig	Fransızca ,tuyau	Germence,*thuta	;
sör;orig	İngilizce ,sir	Eski Fransızca,sieur	Latince,senior	;
süpürge;orig	Eski Türkçe,sipürgü	Eski Türkçe,sipür-	;
kaplumbağa;orig	Türkiye Türkçesi,kaplı	Türkiye Türkçesi,bağa	;
zail;orig	Arapça,zwl	Arapça,zāla	;
yumurcak;orig	Türkiye Türkçesi,yumru	;
bazı;orig	Arapça,baˁḍi	Arapça,bˁḍ	Arapça,baˁaḍa	;
çevlik;orig	Türkiye Türkçesi,çevrik	Türkiye Türkçesi,çevür-	;
angarya;orig	Yeni Yunanca,angaría	Eski Yunanca,aggareía	Eski Yunanca,ággaros	Eski Farsça ,ha(n)gāra-	Akatça,agaru 	;
tam;orig	Arapça,tmm	Arapça,tamma	;
dakika;orig	Arapça,dḳḳ	Arapça,daḳḳa	;
tavsiye;orig	Arapça,wṣy	Arapça,waṣiya	;
eğir|mek;orig	Eski Türkçe,egir-	Eski Türkçe,eg-	;
yaltak;orig	Türkiye Türkçesi,yaldak	Türkiye Türkçesi,yaldan-	Türkiye Türkçesi,yal	;
beşaret;orig	Arapça,bşr	Arapça,başara	;
kokoroz;orig	Yeni Yunanca,kokkērós 	Eski Yunanca,kókkos	;
kateter;orig	Fransızca ,cathéter	İngilizce ,catheter	Eski Yunanca,kathētḗr	Eski Yunanca,kathíēmi	Eski Yunanca,ʰiēmi, et-	;
akümüle;orig	Fransızca ,accumuler	Latince,accumulare	Latince,cumulare	Latince,cumulus	;
çorap;orig	Arapça,crb	Aramice/Süryanice,gurbā 	Akatça,gurābu	;
toplantı;orig	Türkiye Türkçesi,toplan-	;
klozet;orig	İngilizce ,water closet	Fransızca ,closette	Fransızca ,clos	Latince,clausus	;
fıkra;orig	Arapça,fḳr	Arapça,faḳara	;
buna|mak;orig	Eski Türkçe,muŋa-	Eski Türkçe,buŋ 	;
berkemal;orig	Farsça,bar kamāl	Arapça,kamāl	;
beserek;orig	Orta Türkçe,bés	;
uy|mak;orig	Eski Türkçe,*ud-	;
uydu;orig	Türkiye Türkçesi,uy-	;
fanila;orig	Fransızca ,flanelle	İngilizce ,flannel	Galce (Welsh),gwlân	Hintavrupa Anadilinde,*welə-na	;
bitkin;orig	Türkiye Türkçesi,bit-	;
tashih;orig	Arapça,ṣḥḥ	Arapça,ṣaḥḥa	;
catering;orig	İngilizce ,catering	İngilizce ,cater	Eski Fransızca,acatour	Latince,acceptator	Latince,accipere, accept-	;
çarp|mak;orig	Eski Türkçe,çalp- 	;
baldaken;"orig	Fransızca ,baldaquin	İtalyanca,baldacchino	İtalyanca,Baldaco	özel adından <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2Bin%C2%B02"">+in°2</a> ekiyle türetilmiştir. Bu sözcük <b>Arapça,Baġdād	";
