word;etymology;related
statü;orig	Fransızca ,status	Latince,status	Latince,stāre	Hintavrupa Anadilinde,*stā-	;
şevk;orig	Arapça,şwḳ	Arapça,şāḳa	;
tezekkür;orig	Arapça,ḏkr	Arapça,ḏakara	;
abit;orig	Arapça,ˁbd	Arapça,ˁabada	;
feryat;orig	Farsça,faryād 	Orta Farsça,frayād	Avesta (Zend) dilinde,frā-dhāta	;
beher;orig	Farsça,ba har	;
mont;orig	İngilizce ,montgomery	;
eğlen|mek;orig	Orta Türkçe,egle-	;
apoje;orig	Fransızca ,apogée	Eski Yunanca,apógeion	Eski Yunanca,gḗ	;
dokunmatik;orig	Türkiye Türkçesi,dokun-	Türkiye Türkçesi,otomatik	;
yazgı;orig	Türkiye Türkçesi,yaz-	;
örgüt;orig	Türkiye Türkçesi,ör-	;
kiç;orig	İngilizce ,kitsch	Almanca ,Kitsch	;
saf;orig	Arapça,ṣff	Arapça,ṣaffa	;
navigasyon;orig	Fransızca ,navigation	Latince,navigare	Latince,navis	Hintavrupa Anadilinde,*nāu-<sup>2</sup>	;
eşantiyon;orig	Fransızca ,échantillon	Geç Latince,*scandaculum	Latince,scandere	;
center;orig	İngilizce ,center	Latince,centrum	;
dede;orig	Oğuzca,dede	;
zühal;orig	Arapça,zḥl	Arapça,zaḥala	;
desktop;orig	İngilizce ,desktop	İngilizce ,desk	İngilizce ,top	;
vida;orig	Venedikçe,vida	Latince,vitis	;
naçar;orig	Farsça,nāçār	Farsça,çār	;
manyetik;orig	Fransızca ,magnétique	Eski Yunanca,magnētikós	Eski Yunanca,magnḗtis	;
çağlayan;orig	Eski Türkçe ve Türkiye Türkçesi,çağıla-	ETü (onom),çağ 	;
nöroloji;orig	Fransızca ,neurologie	İngilizce ,neurology	;
absolü;orig	Fransızca ,absolut	Latince,absolutus	Latince,absoluere	Latince,soluere	;
glikoz;orig	Fransızca ,glucose	Eski Yunanca,glykýs	Hintavrupa Anadilinde,*dlku-	;
geçerli;orig	Türkiye Türkçesi,geçer	;
intiba;orig	Arapça,ṭbˁ	Arapça,ṭabaˁa	;
hidrofil;orig	Fransızca ,hydrophile	Eski Yunanca,ʰydōr	Eski Yunanca,phílos	;
bal;orig	Oğuzca,bal	;
çavuş;orig	Eski Türkçe,çavuş	Eski Türkçe,*çav-	;
ekinoks;orig	Fransızca ,équinox	Latince,aequinoctium	Latince,aequus	Latince,nox, noct-	;
buhurdan;orig	Farsça,baχūrdān	;
barış;orig	Türkiye Türkçesi,barışık	Türkiye Türkçesi,barış-	;
açmaz;orig	Türkiye Türkçesi,aç-	;
hoşbeş;orig	Farsça,χōş bāşad	;
ecir;orig	Arapça,Acr	Aramice/Süryanice,agər	Akatça,agaru	;
ambale;orig	Fransızca ,embalé	Fransızca ,s'embaler	Latince,ballare	;
periyot;orig	Fransızca ,période	Eski Yunanca,períodos	Eski Yunanca,ʰodós	;
noodle;orig	İngilizce ,noodle	Almanca ,Nudel	;
aseton;orig	Fransızca ,acétone	Latince,acetum	;
ademimerkeziyet;orig	Arapça,ˁadam	Arapça,markazī	;
çömçe;orig	Oğuzca,çomça	Eski Türkçe,çom-	;
lens;orig	İngilizce ,contact lens	İngilizce ,lens	Latince,lens, lent-	;
ücra;orig	Türkiye Türkçesi,uc	;
halim;orig	Arapça,ḥlm	Arapça,ḥaluma	;
sanık;orig	Türkiye Türkçesi,san-	;
ölçüt;orig	Türkiye Türkçesi,ölç-	;
reşit;orig	Arapça,rşd	Arapça,raşada	;
Şii;orig	Arapça,şīˁī	Arapça,şyˁ	Arapça,şāˁa	;
omur;orig	Türkiye Türkçesi,omurga	;
hami;orig	Arapça,ḥmy	Arapça,ḥamā	;
çomar;orig	Türkiye Türkçesi,çokmar	;
nonoş;"none	<p> <i>nono</i> çocuk sözünden Türkiye Türkçesinde <a class=""presufgram"" href=""?s=structures&amp;ttype=t&amp;ww=%2Bo%C5%9F"">+oş</a> ekiyle türetilmiştir.</p>";
penaltı;orig	İngilizce ,penalty	Fransızca ,pénalité	Geç Latince,poenalitas	Latince,poenalis	Latince,poena	Eski Yunanca,poinḗ	Hintavrupa Anadilinde,*kʷoi-nā-	Hintavrupa Anadilinde,*kʷei-	;
efe;"none	<p> çocuk dilinden türetilmiş olabilir; ancak bu kesin değildir. </p>";
operet;orig	Fransızca ,opérette	İtalyanca,operetta	İtalyanca,opera	;
ibrişim;orig	Farsça,abrīşum	Orta Farsça,abrēşōm	Avesta (Zend) dilinde,*upa-rēşma	Avesta (Zend) dilinde,*rēş-	;
gâvur;orig	Farsça,gabr	;
fringe;orig	İngilizce ,fringe	Fransızca ,frange	Latince,fimbria	;
buket;orig	Fransızca ,bouquette	Fransızca ,bouquet	;
usare;orig	Arapça,ˁṣr	Arapça,ˁaṣara	;
ham;"none	<p> ""yeme veya yutma sesi"" <b>Ses yansımalı sözcüktür.</b> </p>";
sürç|mek;orig	Eski Türkçe,sürç-	Eski Türkçe,sür-	;
esma;orig	Arapça,smy	Arapça,ism	;
moren;orig	Fransızca ,moraine	;
mukaddime;orig	Arapça,ḳdm	Arapça,ḳaddama	;
pragmatik;orig	Fransızca ,pragmatique	Eski Yunanca,prágma	Eski Yunanca,prássō, prag-	;
gırtlak;orig	Türkiye Türkçesi,gırtla-	;
parka;orig	İngilizce ,parka	Aleut Adaları dillerinden Nenets dilinde,parkha	;
diğerkâm;orig	Farsça,dīgar	Farsça,kām	Avesta (Zend) dilinde,kāma-	Hintavrupa Anadilinde,*kā-mo-	Hintavrupa Anadilinde,*kā-	;
kannabis;orig	Latince,cannabis	;
helyum;orig	Yeni Latince,helium	Eski Yunanca,ʰēlios	;
basiret;orig	Arapça,bṣr	Arapça,baṣar	;
fıtık;orig	Arapça,ftḳ	Arapça,fataḳa	;
dizge;orig	Türkiye Türkçesi,diz-	;
kavra|mak;orig	Eski Türkçe,kavur-, kavrar	;
miraç;orig	Arapça,ˁrc	Arapça,maraca	;
katarsis;orig	İngilizce ,catharsis	Eski Yunanca,kátharsis	Eski Yunanca,kathaírō	Eski Yunanca,ʰaíreō	;
zulmet;orig	Arapça,ẓlm	Arapça,ẓalima	;
utangaç;orig	Türkiye Türkçesi,utan-	;
gazal;orig	Arapça,ġzl	Aramice/Süryanice,ˁuzīlā	Akatça,χuzālu 	;
zoka;orig	Yeni Yunanca,zóka	Venedikçe,sóga	;
entel;orig	Türkiye Türkçesi,entelektüel	;
hırbo;orig	Kürtçe (Kurmanci),xirbo	;
